RAW_TEXT,CLEAN_TEXT,LLM_OUT,split_phrases
Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer,"['Jordan Riley', 'Adam Argyle', 'Martin Brammer']"
Martin Hygård,Martin Hygård,Martin Hygård,['Martin Hygård']
Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,"['Jesse Robinson', 'Greg Phillips', 'Kishaun Bailey', 'Kai Asa Savon Wright']"
Mendel Brikman,,Mendel Brikman,['Mendel Brikman']
Alvin Lee,Alvin Lee,Alvin Lee,['Alvin Lee']
Haddag Samir/MusicAlligator,Haddag Samir,Haddag Samir,['Haddag Samir']
Mefi Morales,Mefi Morales,Mefi Morales,['Mefi Morales']
Christopher Franke,Christopher Franke,Christopher Franke,['Christopher Franke']
UNKNOWN WRITER (999990),,,[]
Shashank Katkar,Shashank Katkar,Shashank Katkar,['Shashank Katkar']
L. Chandler/John Hammond,L. Chandler/John Hammond,L. Chandler/John Hammond,"['L. Chandler', 'John Hammond']"
Itsjaygocrazy/Jordan Ancrum,Itsjaygocrazy/Jordan Ancrum,Jordan Ancrum,['Jordan Ancrum']
Ferhan C/Aaron Tyler/Blue Stamp Music,Ferhan C/Aaron Tyler,Aaron Tyler/Ferhan C,"['Aaron Tyler', 'Ferhan C']"
Mike Kalambay,Mike Kalambay,Mike Kalambay,['Mike Kalambay']
Rikard Sjöblom,Rikard Sjöblom,Rikard Sjöblom,['Rikard Sjöblom']
Junior Francisco,Junior Francisco,Junior Francisco,['Junior Francisco']
PHUC TRUONG,PHUC TRUONG,Phuc Truong,['Phuc Truong']
Slatt Zy,Slatt Zy,Slatt Zy,['Slatt Zy']
Bằng Giang/Tú Nhi,Bằng Giang/Tú Nhi,Bằng Giang/Tú Nhi,"['Bằng Giang', 'Tú Nhi']"
Paul Hardcastle/Kim Fuller,Paul Hardcastle/Kim Fuller,Paul Hardcastle/Kim Fuller,"['Paul Hardcastle', 'Kim Fuller']"
Ivan Torrent,Ivan Torrent,Ivan Torrent,['Ivan Torrent']
An Stepper,An Stepper,An Stepper,['An Stepper']
NS (PERF BY KALI),NS (PERF BY KALI),,[]
José Afonso/Luís de Andrade,José Afonso/Luís de Andrade,José Afonso/Luís de Andrade,"['José Afonso', 'Luís de Andrade']"
Lavel Jackson & Demarcus Ford,Lavel Jackson/Demarcus Ford,Lavel Jackson/Demarcus Ford,"['Lavel Jackson', 'Demarcus Ford']"
fo man,,Fo Man,['Fo Man']
Wilhelm Hellweg/Ludwig van Beethoven,Wilhelm Hellweg/Ludwig van Beethoven,Wilhelm Hellweg/Ludwig van Beethoven,"['Wilhelm Hellweg', 'Ludwig van Beethoven']"
Traditional,,,[]
#unknown#,,,[]
Christian Michelle Felix Felix,Christian Michelle Felix Felix,Christian Felix,['Christian Felix']
Eric Andersen,Eric Andersen,Eric Andersen,['Eric Andersen']
Efrem Jamaar Blackwell,Efrem Jamaar Blackwell,Efrem Jamaar Blackwell,['Efrem Jamaar Blackwell']
ZAIKS/Mariusz Duda/District 6 Music Publishing Ltd,Mariusz Duda,Mariusz Duda,['Mariusz Duda']
Ludwig van Beethoven,Ludwig van Beethoven,Ludwig van Beethoven,['Ludwig van Beethoven']
Nguyễn Nhất Huy,Nguyễn Nhất Huy,Nguyen Nhat Huy,['Nguyen Nhat Huy']
Hayden Buck Jones,Hayden Buck Jones,Hayden Buck Jones,['Hayden Buck Jones']
Alexey Abrosimov,Alexey Abrosimov,Alexey Abrosimov,['Alexey Abrosimov']
Bhai Gurbachan Singh Ji Sri Ganganagar Wale,Bhai Gurbachan Singh Ji Sri Ganganagar Wale,Bhai Gurbachan Singh Ji,['Bhai Gurbachan Singh Ji']
"Rundown Spaz,Rundown Choppaboy",Rundown Spaz/Rundown Choppaboy,Rundown Spaz/Rundown Choppaboy,"['Rundown Spaz', 'Rundown Choppaboy']"
Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,"['Michael Hansen', 'James Lewis', 'Felix Rutherford', 'Robbie Jay']"
