raw_comp_writers_text,CLEAN_TEXT,split_phrases
Endo Anaconda/Balts Nill,Endo Anaconda/Balts Nill,"['Endo Anaconda', 'Balts Nill']"
Jessica Curry,Jessica Curry,['Jessica Curry']
Peter Kelly/Andy Monaghan/Jill O'Sullivan,Peter Kelly/Andy Monaghan/Jill O'Sullivan,"['Peter Kelly', 'Andy Monaghan', ""Jill O'Sullivan""]"
Thomas Bergersen/Nick Phoenix,Thomas Bergersen/Nick Phoenix,"['Thomas Bergersen', 'Nick Phoenix']"
Candelaria Tojin,Candelaria Tojin,['Candelaria Tojin']
传统音乐 & 李富兴,,"['传统音乐', '李富兴']"
Rob Hubbard,Rob Hubbard,['Rob Hubbard']
Sony Assla/V. Kainth,,"['Sony Assla', 'V. Kainth']"
Salomon Hermann Mosenthal/Anton Rubinstein,Salomon Hermann Mosenthal/Anton Rubinstein,"['Salomon Hermann Mosenthal', 'Anton Rubinstein']"
Todd Christensen,Todd Christensen,['Todd Christensen']
Black Menace,Black Menace,['Black Menace']
Zakir Khan Barelvi/Kishor Malhotra,Zakir Khan Barelvi/Kishor Malhotra,"['Zakir Khan Barelvi', 'Kishor Malhotra']"
Danny White/Darren White/B. Trzetrzelewska,Danny White/Darren White/B. Trzetrzelewska,"['Danny White', 'Darren White', 'B. Trzetrzelewska']"
Skully Wit Da k & Pdg Jugg,Skully Wit Da k/Pdg Jugg,"['Skully Wit Da k', 'Pdg Jugg']"
Marco Hietala/Tuomas Holopainen,Marco Hietala/Tuomas Holopainen,"['Marco Hietala', 'Tuomas Holopainen']"
Deborah Lurie,Deborah Lurie,['Deborah Lurie']
David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin,David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin,"['David Sheats', 'Antwan Patton', 'Earthtone III', 'Neal H. Pogue', 'Andre Benjamin']"
Rosbel Ruiz/David Lee Garza,Rosbel Ruiz/David Lee Garza,"['Rosbel Ruiz', 'David Lee Garza']"
Arda Unverdi,Arda Unverdi,['Arda Unverdi']
Matthijs Aukema,Matthijs Aukema,['Matthijs Aukema']
Nkosi Moyo,Nkosi Moyo,['Nkosi Moyo']
Alfredo Hays Cruz,Alfredo Hays Cruz,['Alfredo Hays Cruz']
"Stevens IV, Quincey Hanley & Kenneth Blume III",Stevens IV/Quincey Hanley/Kenneth Blume III,"['Stevens IV', 'Quincey Hanley', 'Kenneth Blume III']"
Trần Tiến,,['Trần Tiến']
Romario Coleman,Romario Coleman,['Romario Coleman']
"Webb Wilder/New West Records, LLC",Webb Wilder,"['Webb Wilder', 'New West Records', 'LLC']"
Sergio Kramer,Sergio Kramer,['Sergio Kramer']
"SCELSA, GREGORY PAUL/TRADITIONAL (PD)",SCELSA/GREGORY/PAUL,"['SCELSA', 'GREGORY PAUL', 'TRADITIONAL', 'PD']"
C GJEDREM TORE/CA HAAVIK PETTER/CA OMAR NASRA ALI/PA OST&KJEX,GJEDREM TORE/HAAVIK PETTER/OMAR NASRA ALI/OST&KJEX,"['C GJEDREM TORE', 'CA HAAVIK PETTER', 'CA OMAR NASRA ALI', 'PA OST', 'KJEX']"
Jared Gutstadt/Jesse Siebenberg/Universal Music Publishing,Jared Gutstadt/Jesse Siebenberg,"['Jared Gutstadt', 'Jesse Siebenberg', 'Universal Music Publishing']"
Soziedad Alkoholika,Soziedad Alkoholika,['Soziedad Alkoholika']
Max Forest/Veronique Culliford/Thierry Culliford/J.F. Maljean,Max Forest/Veronique Culliford/Thierry Culliford/J.F. Maljean,"['Max Forest', 'Veronique Culliford', 'Thierry Culliford', 'J.F. Maljean']"
Veeze,Veeze,['Veeze']
Connor Musarra,Connor Musarra,['Connor Musarra']
Yuno Miles,Yuno Miles,['Yuno Miles']
Kazuo/illrain/Leon Fanourakis,Kazuo/illrain/Leon Fanourakis,"['Kazuo', 'illrain', 'Leon Fanourakis']"
